participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,
5481,3,1,0,,,1,White,Male,Tenure - 111 Days,
5481,4,1,0,,,1,White,Female,Tenure - 108 Days,
5481,5,1,0,,,1,White,Male,Tenure - 144 Days,
5481,6,1,0,,,1,White,Male,Tenure - 157 Days,
5481,7,1,0,,,1,Asian,Male,Tenure - 194 Days,
5481,8,1,0,,,1,White,Female,Tenure - 217 Days,
5481,9,1,0,,,1,Asian,Female,Tenure - 235 Days,
5481,10,1,0,,,1,White,Female,"Tenure - original post wasa from August, 2011",
8406,1,1,0,12,Hours,1,Asian,Female,,
8406,2,1,0,1,Days,1,Asian,Female,,
8406,3,1,0,2,Days,1,White,Male,,
8406,4,1,0,2,Days,1,Asian,Female,,
8406,5,1,0,3,Days,1,Asian,Female,,
8406,6,1,0,3,Days,1,Asian,Female,,
8406,7,1,0,4,Days,1,Asian,Female,,
8406,8,1,0,5,Days,1,Asian,Female,,
8406,9,1,0,5,Days,1,Asian,Female,,
8406,10,1,0,5,Days,1,Asian,Female,,
5222,1,1,0,2,Days,1,White,Male,,
5222,2,1,0,4,Days,1,White,Male,,
5222,3,0,1,6,Days,1,White,Female,,
5222,4,1,0,8,Days,1,White,Female,,
5222,5,1,0,8,Days,0,,,,
5222,6,1,0,10,Days,1,White,Female,,
5222,7,1,0,10,Days,1,White,Female,,
5222,8,1,0,11,Days,1,White,Female,,
5222,9,1,0,12,Days,1,White,Male,,
5222,10,1,0,13,Days,0,,,,
8499,1,1,0,4,Days,0,,,,
8499,2,1,0,6,Days,1,White,Female,,
8499,3,1,0,8,Days,1,White,Male,,
8499,4,1,0,10,Days,1,White,Female,,
8499,5,0,0,10,Days,1,White,Female,,
8499,6,1,0,13,Days,1,White,Male,,
8499,7,1,0,14,Days,1,White,Female,,
8499,8,1,0,16,Days,1,White,Female,,
8499,9,1,0,19,Days,1,White,Female,,
8499,10,1,0,21,Days,1,White,Female,,
2526,1,1,0,14,Days,1,White,Female,,
2526,2,1,0,16,Days,0,,,,
2526,3,1,0,18,Days,1,White,Male,,
2526,4,1,0,17,Days,1,Asian,Female,,
2526,5,1,0,15,Days,1,Hispanic,Female,,
2526,6,1,0,26,Days,1,White,Male,Group B,
2526,7,1,0,37,Days,0,,,,
2526,8,1,0,37,Days,1,White,Female,,
2526,9,1,0,37,Days,1,White,Female,,
2526,10,1,0,39,Days,1,White,Male,,
4409,1,1,0,1,Hours,1,White,Female,,
4409,2,1,0,1,Days,1,White,Female,,
4409,3,0,1,3,Hours,1,White,Female,Page A,
4409,4,1,0,20,Hours,0,,,,
4409,5,1,0,15,Hours,1,White,Female,,
4409,6,1,0,16,Hours,1,White,Female,The next post interaction was reacting to a picture from this post individually,
4409,7,0,1,21,Hours,1,White,Female,Page A,
4409,8,1,0,1,Days,1,White,Female,,
4409,9,1,0,1,Days,1,Asian,Female,,
4409,10,0,1,1,Days,1,White,Female,,
1744,1,1,0,2,Hours,1,White,Female,,
1744,2,0,1,4,Hours,1,White,Female,,
1744,3,0,1,4,Hours,1,White,Female,,
1744,4,1,0,6,Hours,1,White,Male,,
1744,5,1,0,13,Hours,0,,,,
1744,6,0,1,1,Days,0,,,,
1744,7,1,0,1,Days,1,Asian,Female,,
1744,8,1,0,3,Days,1,White,Female,,
1744,9,1,0,4,Days,1,Asian,Female,,
1744,10,0,1,5,Days,1,White,Female,,
8245,1,1,0,4,Days,0,,,Page C,
8245,2,1,0,4,Days,1,Hispanic,Female,,
8245,3,1,0,5,Days,1,White,Female,,
8245,4,1,0,8,Days,0,,,Person A,
8245,5,1,0,17,Days,1,Asian,Female,,
8245,6,1,0,18,Days,0,,,Person A,
8245,7,1,0,18,Days,1,Asian,Male,Person A,
8245,8,1,0,21,Days,1,Asian,Female,,
8245,9,1,0,21,Days,1,White,Female,,
8245,10,1,0,24,Days,1,Asian,Male,Person A,
2390,1,1,0,8,Days,1,Asian,Male,,
2390,2,1,0,8,Days,1,White,Female,,
2390,3,1,0,8,Days,1,Asian,Male,,
2390,4,1,0,8,Days,1,Asian,Male,,
2390,5,1,0,16,Days,1,Asian,Male,,
2390,6,1,0,17,Days,1,Hispanic,Female,,
2390,7,1,0,18,Days,1,White,Female,,
2390,8,1,0,23,Days,1,White,Female,,
2390,9,1,0,23,Days,1,White,Female,,
2390,10,1,0,23,Days,1,White,Female,,
5146,1,1,0,12,Hours,1,White,Female,,
5146,2,1,0,44,Hours,0,,,,
5146,3,1,0,1,Hours,1,Hispanic,Male,,
5146,4,1,0,1,Hours,1,White,Female,,
5146,5,1,0,1,Hours,1,White,Male,,
5146,6,1,0,2,Hours,1,White,Male,,
5146,7,1,0,2,Hours,0,,,,
5146,8,1,0,3,Hours,1,White,Male,,
5146,9,1,0,3,Hours,1,White,Male,,
5146,10,1,0,3,Hours,0,,,,
5584,1,1,0,5,Minutes,0,,,,
5584,2,1,0,7,Minutes,0,,,,
5584,3,1,0,7,Minutes,0,,,,
5584,4,1,0,9,Minutes,0,,,,
5584,5,1,0,1,Days,0,,,,
5584,6,1,0,1,Days,0,,,,
5584,7,1,0,1,Days,0,,,,
5584,8,1,0,1,Days,0,,,,
5584,9,1,0,1,Days,0,,,,
5584,10,1,0,2,Days,0,,,,
9443,1,1,1,5,Hours,1,White,Female,,
9443,2,0,1,5,Hours,1,White,Female,,
9443,3,0,1,1,Days,0,,,,
9443,4,1,0,1,Days,1,White,Male,,
9443,5,1,0,1,Days,1,White,Male,,
9443,6,1,0,1,Days,1,White,Female,,
9443,7,1,0,2,Days,1,White,Female,,
9443,8,0,1,2,Days,1,White,Female,,
9443,9,1,0,2,Days,1,White,Female,,
9443,10,0,1,2,Days,1,White,Female,,
3107,1,1,0,2,Hours,1,White,Female,,
3107,2,1,0,14,Hours,1,White,Female,,
3107,3,1,0,5,Days,1,White,Female,,
3107,4,1,0,1,Days,1,White,Female,,
3107,5,1,0,1,Days,1,White,Male,,
3107,6,1,0,1,Days,1,White,Female,,
3107,7,1,0,3,Days,1,White,Female,,
3107,8,1,0,2,Days,1,White,Female,,
3107,9,1,0,2,Days,1,Black or African American,Female,,
3107,10,1,0,5,Days,1,White,Female,,
9910,1,1,0,2,Days,1,White,Female,in LNN,
9910,2,1,0,1,Days,1,White,Female,PM,
9910,3,0,1,1,Days,1,White,Female,in 100k,Group A
9910,4,0,1,2,Days,1,White,Female,in PSG,Group B
9910,5,1,0,2,Days,1,White,Female,in CWPL,
9910,6,1,0,2,Days,1,Asian,Female,BS,
9910,7,1,0,2,Days,0,,,,
9910,8,0,0,2,Days,1,White,Female,in PSG,Participant saved the post.
9910,9,1,0,5,Days,1,White,Female,in YNAB,
9910,10,1,0,5,Days,1,White,Male,PW,
6416,1,1,0,,,0,,,Sept 29,
6416,2,1,0,,,1,Hispanic,Female,June 4,
6416,3,1,0,,,1,White,Female,May 25,
6416,4,1,0,,,0,,,May 23,
6416,5,1,0,,,1,White,Male,May 17,
6416,6,1,0,,,1,Black or African American,Male,May 10,
