StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,free_text1,free_text2,access1,access2,cog_effort1,cog_effort2,influence1,influence2,gut1,gut2,careful1,careful2,awareness1,awareness2,intention1,intention2,controllability1,controllability2,efficiency1,efficiency2,speed1,speed2,race,race_free,gender,age,education,Q31,Q35,Q32,Q36,Q33,MTurkCode,workerId,PROLIFIC_PID,condition1,c_text1,condition2,c_text2,intentiontext1,intentiontext2,FL_11_DO,FL_27_DO
2020-09-02 17:51:38,2020-09-02 17:56:31,0,97.96.94.253,100,293,1,2020-09-02 17:56:32,R_3OqMRat8TkHVSVa,,,,,27.9611053466796875,-81.93979644775390625,anonymous,EN,1,I read the post and if it is something I agree with I will like the post.,I will only add if its someone I know personally.  Just because we have mutual friends is not a reason for me to add someone.  ,1,1,1,6,5,7,1,2,2,1,1,1,6,6,2,1,7,6,3,60,1,White,2,31,6,2,2,2,2,1,9934,,571fa606936f5f0011c6393a,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,FreeText|Access|awareness|intentionality|Gutreaction|Efficiency|carefulconsideration|Speed|Cognitiveeffort|Controllability|outsideinfluence
2020-09-02 17:53:40,2020-09-02 17:58:48,0,100.34.52.232,100,308,1,2020-09-02 17:58:48,R_pzmpQFr4fM3i881,,,,,40.207000732421875,-75.07440185546875,anonymous,EN,1,"If I agree with the post or if I like what is in the post, whether it is a statement or picture. ","Do I actually know this person.  Have I meet this person.  If I have not meet this person in person, it's likely I won't add.  ",1,1,5,7,3,2,2,2,1,1,2,1,3,6,2,1,2,1,4,30,1,White,1,57,6,2,2,2,2,1,3811,,5f4fb411ef10880a2b5342a6,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,carefulconsideration|outsideinfluence|Access|Gutreaction|Controllability|Speed|intentionality|awareness|FreeText|Efficiency|Cognitiveeffort
2020-09-02 17:53:34,2020-09-02 17:59:03,0,24.12.80.44,100,328,1,2020-09-02 17:59:03,R_2yqknzzlLFQ3xAX,,,,,41.42529296875,-87.35649871826171875,anonymous,EN,1,I tend to only add people if I personally know them and it's someone that I tend to want to stay in contact with.,"I very rarely ""like"" posts. I will usually only like posts that I find overly funny or that cause me to stop and think about something in a meaningful way.",1,1,6,5,7,7,2,2,1,1,1,1,7,7,1,1,4,3,60,30,1,White American,1,31,3,3,3,3,3,2,2449,,5f2c9b19a0b12507b38d19e4,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,awareness|intentionality|Controllability|FreeText|Speed|Cognitiveeffort|outsideinfluence|Gutreaction|Efficiency|Access|carefulconsideration
2020-09-02 17:47:40,2020-09-02 17:59:26,0,13.59.238.211,100,705,1,2020-09-02 17:59:26,R_10SrGu7pzq0AMQZ,,,,,39.965301513671875,-83.02349853515625,anonymous,EN,1,I see if I find the post relevant or irrelevant.,"As long as the person is someone I know and I want to establish a connection with the person, I add the person.",2,2,6,6,2,2,1,2,1,1,2,2,2,3,2,2,3,3,5,5,1,I am white American. My first language is English.,2,22,5,3,3,4,4,3,6970,,5f206d728082db10cb4ab1ef,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,intentionality|Gutreaction|awareness|outsideinfluence|Efficiency|carefulconsideration|FreeText|Cognitiveeffort|Controllability|Access|Speed
2020-09-02 17:55:32,2020-09-02 18:00:25,0,65.79.146.240,100,293,1,2020-09-02 18:00:26,R_1rGiJN0V26BXdhV,,,,,41.970306396484375,-87.66400146484375,anonymous,EN,1,I look at who posted it and the content of the post usually. I don't like very many posts in general.,I think about what they think of me and whether they'd recognize my name immediately from the notification.,2,1,2,6,6,3,1,2,2,1,2,2,6,5,2,1,6,2,1,10,1,I am a white person living in America,3,22,3,5,5,5,5,2,8928,,5b9094dd0fbe4c00010db65c,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,awareness|Efficiency|Gutreaction|outsideinfluence|intentionality|carefulconsideration|Controllability|FreeText|Access|Speed|Cognitiveeffort
2020-09-02 17:49:53,2020-09-02 18:00:46,0,98.210.110.93,100,653,1,2020-09-02 18:00:47,R_3Pnwk5QS59QpV2y,,,,,37.6864013671875,-121.7653961181640625,anonymous,EN,1,"Who is making the post?
Why they might be making the post?
What is the post's meaning on the surface? Are there any ulterior motives for the post?
Are there potential hidden meanings behind the content of the post?
Is the content of the post factual and truthful?","Do I actually know this person?
How well do I know this person?
Do I even like this person?
Do I want this person seeing my posts and profile?
Do I want to see this person's posts and shared content?
Does this person tend to believe in pseudoscience?
Does this person tend to have offensive, anti-lgbt+, far right, racist, classist, or ablist viewpoints?",2,3,5,7,5,7,2,2,1,1,2,1,6,6,1,1,3,2,15,30,1,White/Caucasian,2,30,6,4,5,5,5,3,9212,,5c5123bd2423780001086b50,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,outsideinfluence|Gutreaction|Access|intentionality|carefulconsideration|Cognitiveeffort|Efficiency|awareness|FreeText|Controllability|Speed
2020-09-02 17:57:15,2020-09-02 18:01:11,0,74.131.20.59,100,236,1,2020-09-02 18:01:11,R_VW4JUPqf2EIBK4F,,,,,37.0189971923828125,-86.45369720458984375,anonymous,EN,1,I don't look through them much. I add them if I've met them and had a conversation or two with them. ,I quickly decide if I like the idea and then determine if it shows a small sign of support.,3,2,6,3,5,6,1,1,1,2,2,3,1,3,3,3,2,5,15,10,1,white,2,30,5,5,5,4,4,5,7771,,5e13cba76f6c63a36f2bc2c8,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,awareness|Speed|Gutreaction|FreeText|outsideinfluence|intentionality|carefulconsideration|Efficiency|Access|Controllability|Cognitiveeffort
2020-09-02 17:54:03,2020-09-02 18:01:47,0,99.203.78.119,100,463,1,2020-09-02 18:01:47,R_2foMxwkyohaC3mV,,,,,41.8986053466796875,-87.73799896240234375,anonymous,EN,1,If it's something relevant to my interests and not something I've seen a dozen times that's been slowly mutated by reposts.,"If I know them I'll probably add them, if not I will reject.",1,1,2,4,3,3,2,2,2,2,2,1,7,7,1,1,6,5,5,10,1,"I'm a white guy, my heritage isn't terribly important.",1,30,2,5,5,5,5,5,1534,,5f481e91144b1c2ba2dd8125,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,Controllability|Gutreaction|intentionality|outsideinfluence|Cognitiveeffort|Access|FreeText|Speed|Efficiency|awareness|carefulconsideration
2020-09-02 17:52:39,2020-09-02 18:01:48,0,76.217.241.188,100,549,1,2020-09-02 18:01:49,R_3O7EDPUFgFbf8QR,,,,,39.735198974609375,-84.08640289306640625,anonymous,EN,1,"If I don't know them, I don't add, and if I do know them but don't like them, I don't add.",I rarely like posts on facebook and most are way too liberal to like,1,1,4,4,7,7,2,2,1,2,1,1,7,7,1,1,6,6,180,60,1,"White, European, that the question shouldn't even be on forms.",1,55,5,2,2,2,2,2,4461,,5e83ac27d1da850b6b444805,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,Speed|Controllability|FreeText|Access|Efficiency|Cognitiveeffort|awareness|outsideinfluence|intentionality|Gutreaction|carefulconsideration
2020-09-02 17:57:14,2020-09-02 18:02:17,0,72.17.88.7,100,302,1,2020-09-02 18:02:17,R_26gN8X5HFzFN2xf,,,,,28.62249755859375,-81.43170166015625,anonymous,EN,1,Very Bad,No ,7,7,7,7,5,7,1,1,1,1,6,7,4,5,5,5,6,5,2,3,1,White ,2,32,6,5,5,4,5,5,5709,,5f4fd5d71e17bf0effa1d546,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,Efficiency|awareness|intentionality|Controllability|Speed|Gutreaction|outsideinfluence|FreeText|Access|carefulconsideration|Cognitiveeffort
