participant_id,order,preference (1-7),familiarity (1-7),relationship,post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),common_friends,race_RA_1,race_RA_2,gender,Notes,,,
9029,22,5,5,Acquaintance,20,Hours,1,0,0,7,Black or African American,,Male,,,,
9029,23,4,2,Don't know personally,20,Hours,1,0,0,19,Black or African American,,Male,,,,
9029,24,6,,,2,Days,0,0,0,0,,,,,,,
9029,25,6,,,20,Days,0,0,0,0,,,,,,,
9029,26,4,4,Acquaintance,7,Hours,1,0,0,242,Black or African American,,Female,,,,
9029,27,6,,,17,Hours,0,0,0,0,,,,,,,
9029,28,7,5,Acquaintance,1,Days,1,0,0,7,Black or African American,,Male,,,,
9029,29,2,,,1,Days,0,0,0,0,,,,,,,
9029,30,1,1,Don't know personally,27,Minutes,1,1,0,0,Black or African American,,Male,,,,
2268,1,1,1,Don't know personally,13,Hours,1,1,0,0,White,,Female,,,,
2268,2,7,7,Family,5,Hours,1,0,0,5,White,,Female,,,,
2268,3,7,,,21,Hours,0,0,0,0,,,,,,,
2268,4,1,1,Don't know personally,10,Hours,1,1,0,0,White,,Female,,,,
2268,5,1,1,Don't know personally,3,Days,1,0,0,10,Asian,,Female,,,,
2268,6,3,1,Don't know personally,1,Days,1,1,0,0,White,,Male,,,,
2268,7,7,7,Family,5,Hours,1,0,0,5,,,,,,,
2268,8,5,,,11,Hours,0,0,0,0,,,,,,,
2268,9,1,1,Don't know personally,13,Hours,1,1,0,0,White,,Female,,,,
2268,10,3,7,Friend,2,Days,1,0,0,5,,,,,,,
2268,11,3,7,Friend,14,Hours,1,0,0,44,White,,Female,,,,
2268,12,3,7,Friend,3,Days,1,0,0,57,White,,Female,,,,
2268,13,3,4,Acquaintance,3,Days,1,0,0,53,Hispanic,,Female,,,,
2268,14,4,4,Acquaintance,22,Minutes,1,0,0,4,White,,Female,,,,
2268,15,5,,,20,Hours,0,0,0,0,,,,,,,
2268,16,7,7,Friend,2,Days,1,0,0,62,White,,Male,,,,
2268,17,4,7,Friend,15,Hours,1,0,0,49,White,,Male,,,,
2268,18,1,5,Acquaintance,1,Days,1,0,0,23,Hispanic,,Female,,,,
2268,19,1,5,Acquaintance,2,Days,1,0,0,6,White,,Male,,,,
2268,20,1,1,Don't know personally,21,Hours,1,1,0,0,White,,Female,,,,
2268,21,4,4,Acquaintance,3,Days,1,0,0,1,White,,Female,,,,
2268,22,1,1,Don't know personally,3,Hours,1,1,0,0,White,,Male,,,,
2268,23,5,,,3,Days,0,0,0,0,,,,,,,
2268,24,6,1,Don't know personally,1,Hours,1,1,0,0,Asian,,Female,,,,
2268,25,1,4,Acquaintance,2,Days,1,0,0,60,White,,Female,,,,
2268,26,4,4,Acquaintance,2,Days,1,0,0,75,White,,Female,,,,
2268,27,1,1,Don't know personally,1,Hours,1,1,0,0,White,,Male,,,,
2268,28,1,1,Don't know personally,2,Days,1,1,0,0,White,,Female,,,,
2268,29,7,,,2,Days,0,0,0,0,,,,,,,
2268,30,1,1,Don't know personally,1,Days,1,1,0,0,Asian,,Female,,,,
9683,1,5,,,2,Hours,0,0,0,,,,,,,,
9683,2,7,7,Friend,6,Minutes,1,0,0,0,Black or African American,,Female,,,,
9683,3,5,,,3,Hours,0,0,0,0,,,,,,,
9683,4,2,4,Acquaintance,2,Hours,1,0,0,3,Black or African American,,Male,,,,
9683,5,4,,,3,Days,0,0,0,0,,,,,,,
9683,6,3,1,Don't know personally,3,Hours,1,1,0,0,White,,Female,,,,
9683,7,3,1,Don't know personally,1,Days,1,1,0,0,White,,Female,,,,
9683,8,1,1,Don't know personally,14,Minutes,1,1,0,0,Black or African American,,Male,,,,
9683,9,1,1,Don't know personally,13,Hours,1,1,0,0,Black or African American,,Male,,,,
9683,10,1,1,Don't know personally,56,Minutes,1,1,0,0,Asian,,Male,,,,
9683,11,1,,,33,Minutes,0,0,0,0,,,,,,,
9683,12,1,1,Don't know personally,2,Hours,1,1,0,0,Black or African American,,Female,,,,
9683,13,2,1,Don't know personally,10,Minutes,1,1,0,0,Black or African American,,Female,,,,
9683,14,5,,,20,Days,0,0,0,0,,,,,,,
9683,15,1,1,Don't know personally,2,Days,1,1,0,0,Black or African American,,Male,,,,
9683,16,1,,,1,Days,0,0,0,0,,,,,,,
9683,17,7,,,28,Minutes,0,0,0,0,,,,,,,
9683,18,1,1,Don't know personally,27,Minutes,1,1,0,0,Black or African American,,Male,,,,
9683,19,7,,,4,Days,0,0,0,0,,,,,,,
9683,20,1,1,Don't know personally,50,Minutes,1,1,0,0,Asian,,Male,,,,
9683,21,5,,,12,Hours,0,0,0,0,,,,,,,
9683,22,7,,,3,Days,0,0,0,0,,,,,,,
9683,23,1,,,1,Hours,0,1,0,0,,,,,,,
9683,24,5,,,50,Minutes,0,0,0,0,,,,,,,
9683,25,5,1,Don't know personally,3,Hours,1,1,0,0,Black or African American,,Male,,,,
9683,26,4,5,Acquaintance,2,Hours,1,0,0,55,Black or African American,,Female,,,,
9683,27,2,1,Don't know personally,1,Hours,1,1,0,0,White,,Male,,,,
9683,28,1,,,2,Days,0,0,0,0,,,,,,,
9683,29,1,1,Don't know personally,22,Hours,1,1,0,0,Black or African American,,Female,,,,
9683,30,4,5,Acquaintance,7,Minutes,1,0,0,149,Black or African American,,Male,,,,
7366,1,5,,,6,Hours,0,0,0,0,,,,,,,
7366,2,4,,,5,Hours,0,0,0,0,,,,,,,
7366,3,3,1,Don't know personally,1,Hours,1,1,0,0,White,,Female,,,,
7366,4,3,,,3,Hours,0,0,0,0,,,,,,,
7366,5,2,1,Don't know personally,9,Hours,1,0,0,0,White,,Male,,,,
7366,6,5,4,Acquaintance,16,Minutes,1,0,0,0,White,,Female,,,,
7366,7,4,5,Acquaintance,3,Hours,1,0,0,0,Black or African American,,Male,,,,
7366,8,3,,,1,Hours,0,0,0,0,,,,,,,
7366,9,3,,,3,Hours,0,0,0,0,,,,,,,
7366,10,2,,,19,Hours,0,0,0,0,,,,,,,
7366,11,2,1,Don't know personally,2,Hours,1,1,0,0,White,,Female,,,,
7366,12,3,5,Acquaintance,2,Days,1,0,0,3,White,,Female,,,,
7366,13,3,1,Don't know personally,2,Hours,1,1,0,0,White,,Female,,,,
7366,14,7,2,Don't know personally,2,Days,0,0,0,0,,,,,,,
7366,15,2,4,Acquaintance,15,Minutes,1,0,0,1,White,,Female,,,,
7366,16,3,6,Friend,12,Hours,1,0,0,26,White,,Female,,,,
7366,17,5,,,4,Days,0,0,0,0,,,,,,,
7366,18,2,1,Don't know personally,7,Hours,1,1,0,0,White,,Female,,,,
7366,19,2,1,Don't know personally,,,1,1,0,0,White,,Female,,,,
7366,20,5,,,6,Days,0,0,0,0,,,,,,,
7366,21,1,5,Acquaintance,2,Days,1,0,0,40,White,,Female,,,,
7366,22,5,,,2,Hours,0,0,0,0,,,,,,,
7366,23,5,,,26,Minutes,0,0,0,0,,,,,,,
